Espécie	Nome Popular	Guilda	Habitat	Descrição	Na Tabela
Aburria jacutinga	jacutinga	Frugívoro	Florestal	Frutos, especialmente palmito e figueiras	✓
Accipiter bicolor	gavião-bombachinha-grande	Carnívoro	Florestal	Aves e pequenos mamíferos	✓
Accipiter poliogaster	tauató-pintado	Carnívoro	Florestal	Aves de médio porte	✓
Accipiter striatus	tauató-miúdo	Carnívoro	Florestal	Pequenas aves	✓
Actitis macularius	maçarico-pintado	Insetívoro	Aquático	Invertebrados aquáticos e insetos	✓
Aegolius harrisii	caburé-acanelado	Carnívoro	Florestal	Roedores e insetos	✓
Agelaioides badius	asa-de-telha	Granívoro/Insetívoro	Campestre	Sementes e insetos	✓
Agelasticus thilius	sargento	Insetívoro	Aquático	Insetos em banhados	✓
Alopochelidon fucata	andorinha-morena	Insetívoro aéreo	Campestre	Insetos capturados em voo	✓
Amadonastur lacernulatus	gavião-pombo-pequeno	Carnívoro	Florestal	Aves e pequenos mamíferos	✓
Amaurolimnas concolor	saracura-lisa	Insetívoro	Aquático	Insetos e invertebrados	✓
Amaurospiza moesta	negrinho-do-mato	Granívoro	Florestal	Sementes de bambu	✓
Amazona aestiva	papagaio-verdadeiro	Frugívoro/Granívoro	Generalista	Frutos, sementes, flores	✓
Amazona pretrei	papagaio-charão	Frugívoro/Granívoro	Florestal	Sementes de pinheiro e frutos	✓
Amazona vinacea	papagaio-de-peito-roxo	Frugívoro/Granívoro	Florestal	Frutos, sementes, flores	✓
Amazonetta brasiliensis	marreca-ananaí	Onívoro	Aquático	Plantas, sementes, invertebrados	✓
Amblyramphus holosericeus	cardeal-do-banhado	Insetívoro	Aquático	Insetos em juncos	✓
Ammodramus humeralis	tico-tico-do-campo	Granívoro/Insetívoro	Campestre	Sementes e insetos no campo	✓
Anabacerthia amaurotis	limpa-folha-miúdo	Insetívoro	Florestal	Insetos em bambu e folhagem	✓
Anabacerthia lichtensteini	limpa-folha-ocráceo	Insetívoro	Florestal	Insetos em folhagem do sub-bosque	✓
Anabazenops fuscus	trepador-coleira	Insetívoro	Florestal	Insetos em lianas e cipós	✓
Anas acuta	arrabio	Onívoro	Aquático	Plantas aquáticas e invertebrados	✓
Anas bahamensis	marreca-toicinho	Onívoro	Aquático	Plantas, sementes, invertebrados	✓
Anas flavirostris	marreca-pardinha	Onívoro	Aquático	Plantas, sementes, invertebrados	✓
Anas georgica	marreca-parda	Onívoro	Aquático	Sementes, gramíneas, invertebrados	✓
Anhima cornuta	anhuma	Herbívoro	Aquático	Plantas aquáticas, algas	✓
Anhinga anhinga	biguatinga	Piscívoro	Aquático	Peixes capturados por mergulho	✓
Anous stolidus	trinta-réis-escuro	Piscívoro	Costeiro	Peixes pequenos e invertebrados marinhos	✓
Anthracothorax nigricollis	beija-flor-de-veste-preta	Nectarívoro	Generalista	Néctar e pequenos insetos	✓
Anthus chii	caminheiro-zumbidor	Insetívoro	Campestre	Insetos e invertebrados no chão	✓
Anthus correndera	caminheiro-de-espora	Insetívoro	Campestre	Insetos e invertebrados	✓
Anthus hellmayri	caminheiro-de-barriga-acanelada	Insetívoro	Campestre	Insetos e invertebrados	✓
Anthus nattereri	caminheiro-dourado	Insetívoro	Campestre	Insetos em campos	✓
Antrostomus rufus	joão-corta-pau	Insetívoro aéreo	Florestal	Insetos em voo noturno	✓
Antrostomus sericocaudatus	bacurau-rabo-de-seda	Insetívoro aéreo	Florestal	Insetos em voo noturno	✓
Anumbius annumbi	cochicho	Insetívoro	Campestre	Insetos em arbustais	✓
Aphantochroa cirrochloris	beija-flor-cinza	Nectarívoro	Florestal	Néctar floral e insetos	✓
Aramides cajaneus	saracura-três-potes	Onívoro	Florestal	Insetos, caramujos, frutos, sementes	✓
Aramides saracura	saracura-do-mato	Onívoro	Florestal	Insetos, caramujos, frutos, sementes	✓
Aramides ypecaha	saracuruçu	Onívoro	Aquático	Insetos, anfíbios, plantas aquáticas	✓
Aramus guarauna	carão	Malacófago	Aquático	Especialista em caramujos do gênero Pomacea	✓
Ardea alba	garça-branca-grande	Piscívoro	Aquático	Peixes, anfíbios, insetos	✓
Ardea cocoi	garça-moura	Piscívoro/Carnívoro	Aquático	Peixes, anfíbios, pequenos mamíferos	✓
Ardenna gravis	pardela-de-barrete	Piscívoro	Costeiro	Peixes, lulas, crustáceos	✓
Ardenna grisea	pardela-escura	Piscívoro	Costeiro	Peixes, lulas e crustáceos	✓
Arenaria interpres	vira-pedras	Insetívoro	Costeiro	Invertebrados sob pedras na costa	✓
Arremon semitorquatus	tico-tico-do-mato	Granívoro/Insetívoro	Florestal	Sementes e insetos no solo	✓
Arundinicola leucocephala	freirinha	Insetívoro	Aquático	Insetos em bejiros de água	✓
Asemospiza fuliginosa	cigarra-preta	Granívoro	Florestal	Sementes em borda e interior	✓
Asio clamator	coruja-orelhuda	Carnívoro	Generalista	Roedores, aves pequenas, anfíbios	✓
Asio flammeus	mocho-dos-banhados	Carnívoro	Campestre	Roedores e aves	✓
Asio stygius	mocho-diabo	Carnívoro	Florestal	Roedores, aves, morcegos	✓
Athene cunicularia	coruja-buraqueira	Insetívoro/Carnívoro	Campestre	Insetos, roedores, lagartos	✓
Attila phoenicurus	capitão-castanho	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Attila rufus	capitão-de-saíra	Insetívoro/Frugívoro	Florestal	Insetos e frutos	✓
Automolus leucophthalmus	barranqueiro-de-olho-branco	Insetívoro	Florestal	Insetos em serapilheira e solo	✓
Bartramia longicauda	maçarico-do-campo	Insetívoro	Campestre	Insetos e invertebrados	✓
Baryphthengus ruficapillus	juruva	Insetívoro/Carnívoro	Florestal	Insetos grandes, lagartos, frutas	✓
Basileuterus culicivorus	pula-pula	Insetívoro	Florestal	Insetos no sub-bosque	✓
Batara cinerea	matracão	Insetívoro	Florestal	Insetos no sub-bosque denso	✓
Biatas nigropectus	papo-branco	Insetívoro	Florestal	Insetos em bambu	✓
Botaurus pinnatus	socó-boi-baio	Carnívoro/Piscívoro	Aquático	Anfíbios, insetos, peixes, cobras	✓
Brotogeris chiriri	periquito-de-encontro-amarelo	Frugívoro/Granívoro	Florestal	Frutos e sementes	✓
Brotogeris tirica	periquito-rico	Frugívoro/Granívoro	Florestal	Frutos, sementes e flores	✓
