Muito raras
Urubitinga coronata
Thalassarche chlororhynchos
Diomedea dabbenena
Diomedea exulans
Touit melanonotus
Pteroglossus castanotis
Limnoctites rectirostris
Phylloscartes eximius
Formicivora acutirostris
Sporophila cinnamomea
Cistothorus platensis
Sporophila angolensis
Rhea americana
Spizaetus ornatus
Pterodroma incerta
Eudocimus ruber
Aburria jacutinga
Primolius maracana
Onychorhynchus swainsoni
Polystictus pectoralis
Culicivora caudacuta
Amazona vinacea
Heliornis fulica
Tigrisoma fasciatum
Scytalopus iraiensis
Accipiter poliogaster
Xanthopsar flavus

Raras
Pandion haliaetus
Thalassarche chrysostoma
Thalassarche melanophris
Myiobius barbatus
Sporophila palustris
Anthus nattereri
Piprites pileata
Sporophila falcirostris
Strix huhula
Hydropsalis anomala
Corythopis delalandi
Phylloscartes difficilis
Spizaetus melanoleucus
Amadonastur lacernulatus
Crypturellus noctivagus
Calidris subruficollis
Limnodromus griseus
Calidris pusilla
Stercorarius parasiticus
Hemitriccus kaempferi
Phylloscartes sylviolus
Chloroceryle inda
Heteroxolmis dominicanus
Hemitriccus diops
Myrmoderus squamosus
Amazona pretrei
Biatas nigropectus
Procellaria conspicillata
Procellaria aequinoctialis
Sporophila beltoni
Platyrinchus leucoryphus
Pyroderus scutatus
Celeus galeatus
Drymophila squamata
Sporophila frontalis
Stilpnia peruviana
Laterallus spilopterus
Trogon viridis
Scytalopus pachecoi
Phibalura flavirostris
Loriotus cristatus
Cissopis leverianus
Thalasseus maximus
Lipaugus lanioides
